order_date,picklist_no,sku,store_id,bin,bin_rank
2025-11-13,PL_052,8795,395106,LD-AJ-G2-D2-D10-13-A,1
2025-11-13,PL_052,8795,394957,LD-AJ-G2-D2-D10-13-A,2
2025-11-13,PL_052,23408,400357,LD-AK-G2-D2-D11-18-C,3
2025-11-13,PL_052,22015,394957,LD-AK-G2-D2-D11-09-A,4
2025-11-13,PL_052,26128,394957,LD-AL-G2-D2-D12-13-F,5
2025-11-13,PL_052,26371,398693,LD-AL-G2-D2-D12-13-A,6
2025-11-13,PL_052,10014,398693,LD-AM-G2-D2-D15-05-B,7
2025-11-13,PL_052,10014,395059,LD-AM-G2-D2-D15-05-B,8
2025-11-13,PL_052,17124,394957,LD-AM-G2-D2-D15-17-A,9
2025-11-13,PL_052,23408,400357,LD-AN-G2-D2-D14-11-D,10
2025-11-13,PL_052,23408,400357,LD-AN-G2-D2-D14-04-C,11
2025-11-13,PL_052,1185,398693,LD-AN-G2-D2-D14-08-B,12
2025-11-13,PL_052,1185,398939,LD-AN-G2-D2-D14-08-B,13
2025-11-13,PL_052,26371,398939,LD-AN-G2-D2-D14-14-F,14
2025-11-13,PL_052,25699,398939,LD-AN-G2-D2-D14-08-F,15
